#{"t_start": 1710948552.185986, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.019042
39.0,39,0.053158
23.0,23,0.071094
28.0,28,0.091923
17.0,17,0.105678
13.0,13,0.114374
19.0,19,0.128857
16.0,16,0.140837
15.0,15,0.15286
20.0,20,0.167732
20.0,20,0.182745
24.0,24,0.200878
16.0,16,0.217095
36.0,36,0.246398
11.0,11,0.254429
19.0,19,0.269014
13.0,13,0.277748
10.0,10,0.285228
15.0,15,0.296431
31.0,31,0.31917
16.0,16,0.332517
17.0,17,0.344511
29.0,29,0.36649
18.0,18,0.378906
14.0,14,0.389724
14.0,14,0.400556
31.0,31,0.423353
20.0,20,0.43824
12.0,12,0.448245
14.0,14,0.457301
30.0,30,0.4817
18.0,18,0.496093
19.0,19,0.510652
28.0,28,0.530427
41.0,41,0.562123
17.0,17,0.574093
19.0,19,0.588585
14.0,14,0.599336
19.0,19,0.6121
13.0,13,0.622426
32.0,32,0.645519
12.0,12,0.655469
28.0,28,0.675196
21.0,21,0.692051
12.0,12,0.700315
17.0,17,0.712287
11.0,11,0.721792
9.0,9,0.727281
39.0,39,0.757837
11.0,11,0.765817
18.0,18,0.780101
19.0,19,0.794725
10.0,10,0.802284
11.0,11,0.81019
27.0,27,0.829556
10.0,10,0.837104
27.0,27,0.858364
14.0,14,0.869219
24.0,24,0.885704
29.0,29,0.907546
16.0,16,0.919122
12.0,12,0.929052
43.0,43,0.96006
14.0,14,0.970864
20.0,20,0.985758
10.0,10,0.993273
13.0,13,1.003767
32.0,32,1.030638
57.0,57,1.074407
38.0,38,1.101641
19.0,19,1.116072
18.0,18,1.130152
10.0,10,1.13764
23.0,23,1.154369
41.0,41,1.184466
21.0,21,1.202028
14.0,14,1.21116
14.0,14,1.222239
9.0,9,1.232111
11.0,11,1.240523
14.0,14,1.251788
15.0,15,1.263194
16.0,16,1.274937
14.0,14,1.285725
21.0,21,1.301012
16.0,16,1.31259
12.0,12,1.322547
19.0,19,1.336983
19.0,19,1.349911
13.0,13,1.360353
45.0,45,1.393888
17.0,17,1.405847
12.0,12,1.415782
40.0,40,1.445599
12.0,12,1.45391
31.0,31,1.476847
15.0,15,1.488186
80.0,80,1.547564
17.0,17,1.561233
20.0,20,1.576211
56.0,56,1.61748
35.0,35,1.643476
40.0,40,1.67333
24.0,24,1.691499
34.0,34,1.717043
10.0,10,1.724507
17.0,17,1.736517
30.0,30,1.760295
36.0,36,1.786775
42.0,42,1.818897
42.0,42,1.849551
21.0,21,1.864843
13.0,13,1.875204
28.0,28,1.895134
14.0,14,1.906015
28.0,28,1.927874
14.0,14,1.938616
41.0,41,1.968723
15.0,15,1.979884
25.0,25,1.99856
56.0,56,2.039768
33.0,33,2.064838
13.0,13,2.073503
44.0,44,2.106371
31.0,31,2.129045
17.0,17,2.143231
21.0,21,2.158722
42.0,42,2.189198
12.0,12,2.199161
18.0,18,2.211673
20.0,20,2.227075
14.0,14,2.238154
17.0,17,2.250492
15.0,15,2.261761
34.0,34,2.287419
18.0,18,2.301481
20.0,20,2.316335
39.0,39,2.345639
26.0,26,2.364614
17.0,17,2.376644
12.0,12,2.386595
41.0,41,2.416749
15.0,15,2.427915
28.0,28,2.447738
15.0,15,2.458869
20.0,20,2.473663
23.0,23,2.49133
39.0,39,2.520644
24.0,24,2.538747
20.0,20,2.5536
20.0,20,2.568441
37.0,37,2.595224
18.0,18,2.609294
37.0,37,2.636103
32.0,32,2.659353
9.0,9,2.666439
15.0,15,2.677619
10.0,10,2.685091
17.0,17,2.698731
16.0,16,2.710255
48.0,48,2.744732
17.0,17,2.758654
14.0,14,2.770189
14.0,14,2.779392
10.0,10,2.786949
12.0,12,2.796916
17.0,17,2.808894
25.0,25,2.82776
50.0,50,2.86552
23.0,23,2.883508
12.0,12,2.892054
28.0,28,2.913409
44.0,44,2.946249
16.0,16,2.957821
13.0,13,2.966457
12.0,12,2.976374
13.0,13,2.985009
11.0,11,2.994559
11.0,11,3.002483
21.0,21,3.017766
24.0,24,3.038311
38.0,38,3.065592
76.0,76,3.122864
39.0,39,3.151283
35.0,35,3.177368
46.0,46,3.21244
30.0,30,3.234515
15.0,15,3.245846
37.0,37,3.272609
25.0,25,3.290979
14.0,14,3.301706
20.0,20,3.316493
22.0,22,3.33209
22.0,22,3.349344
14.0,14,3.358446
18.0,18,3.372468
29.0,29,3.394245
25.0,25,3.412692
11.0,11,3.420525
34.0,34,3.44601
14.0,14,3.456725
13.0,13,3.465367
26.0,26,3.484226
23.0,23,3.501946
25.0,25,3.520342
20.0,20,3.535058
16.0,16,3.546679
17.0,17,3.5602
21.0,21,3.575341
16.0,16,3.586884
21.0,21,3.602134
17.0,17,3.615702
12.0,12,3.623942
32.0,32,3.646915
29.0,29,3.668731
19.0,19,3.683223
19.0,19,3.697597
19.0,19,3.711946
29.0,29,3.732018
38.0,38,3.761438
13.0,13,3.771846
28.0,28,3.792049
39.0,39,3.821313
33.0,33,3.846488
15.0,15,3.85761
18.0,18,3.869941
13.0,13,3.880348
36.0,36,3.906789
18.0,18,3.920789
13.0,13,3.929461
16.0,16,3.940967
23.0,23,3.958639
16.0,16,3.970182
23.0,23,3.987843
10.0,10,3.995327
26.0,26,4.014375
43.0,43,4.046798
21.0,21,4.061996
14.0,14,4.072711
11.0,11,4.080575
26.0,26,4.09945
13.0,13,4.109746
19.0,19,4.122503
23.0,23,4.140682
20.0,20,4.155653
20.0,20,4.170511
14.0,14,4.181239
19.0,19,4.195604
19.0,19,4.21194
16.0,16,4.232071
34.0,34,4.264721
12.0,12,4.278659
14.0,14,4.292672
15.0,15,4.307552
16.0,16,4.322395
12.0,12,4.334256
19.0,19,4.35305
13.0,13,4.367207
14.0,14,4.379261
10.0,10,4.388025
21.0,21,4.406362
17.0,17,4.419439
17.0,17,4.431468
13.0,13,4.441815
17.0,17,4.45385
26.0,26,4.474352
27.0,27,4.493654
13.0,13,4.504051
19.0,19,4.516844
12.0,12,4.52683
26.0,26,4.545671
20.0,20,4.560491
32.0,32,4.583377
25.0,25,4.60182
23.0,23,4.619408
24.0,24,4.637543
22.0,22,4.653205
27.0,27,4.674201
13.0,13,4.682868
12.0,12,4.692769
27.0,27,4.71207
18.0,18,4.726113
24.0,24,4.742566
17.0,17,4.757765
29.0,29,4.781916
31.0,31,4.810772
23.0,23,4.82972
16.0,16,4.845016
16.0,16,4.858298
63.0,63,4.908468
23.0,23,4.928326
20.0,20,4.945197
12.0,12,4.954234
30.0,30,4.978748
23.0,23,4.998376
11.0,11,5.006902
12.0,12,5.017835
20.0,20,5.034279
20.0,20,5.05089
10.0,10,5.059039
13.0,13,5.067997
17.0,17,5.082425
20.0,20,5.097894
50.0,50,5.135214
25.0,25,5.155356
12.0,12,5.163922
18.0,18,5.179168
18.0,18,5.191752
14.0,14,5.202697
24.0,24,5.221146
22.0,22,5.237041
14.0,14,5.248158
14.0,14,5.259104
20.0,20,5.274109
15.0,15,5.285376
18.0,18,5.298034
19.0,19,5.312566
18.0,18,5.326767
23.0,23,5.343011
62.0,62,5.390588
45.0,45,5.424167
32.0,32,5.447344
12.0,12,5.457342
24.0,24,5.473981
43.0,43,5.506965
16.0,16,5.518736
27.0,27,5.539952
37.0,37,5.566937
15.0,15,5.578224
12.0,12,5.586595
51.0,51,5.625855
28.0,28,5.645831
21.0,21,5.661199
25.0,25,5.680016
28.0,28,5.701679
31.0,31,5.724586
29.0,29,5.746773
14.0,14,5.757766
36.0,36,5.784508
32.0,32,5.807837
31.0,31,5.834026
34.0,34,5.858445
29.0,29,5.880665
16.0,16,5.892465
32.0,32,5.917383
42.0,42,5.947963
16.0,16,5.959543
23.0,23,5.977379
14.0,14,5.988135
15.0,15,5.999383
18.0,18,6.011909
36.0,36,6.040191
24.0,24,6.056818
13.0,13,6.067273
15.0,15,6.078479
34.0,34,6.104172
15.0,15,6.115446
20.0,20,6.130364
15.0,15,6.142055
78.0,78,6.199575
33.0,33,6.224923
19.0,19,6.239729
10.0,10,6.247453
24.0,24,6.265863
12.0,12,6.274225
16.0,16,6.28589
14.0,14,6.296734
27.0,27,6.316124
18.0,18,6.330239
18.0,18,6.344299
13.0,13,6.353042
12.0,12,6.363004
21.0,21,6.378358
12.0,12,6.386711
31.0,31,6.409412
11.0,11,6.41898
26.0,26,6.438057
26.0,26,6.457228
45.0,45,6.490897
33.0,33,6.51637
24.0,24,6.533031
13.0,13,6.543489
18.0,18,6.557635
17.0,17,6.569708
15.0,15,6.580966
11.0,11,6.588897
15.0,15,6.600144
39.0,39,6.6296
15.0,15,6.640864
25.0,25,6.659536
30.0,30,6.681997
62.0,62,6.727626
10.0,10,6.735176
20.0,20,6.750408
15.0,15,6.761956
17.0,17,6.775902
33.0,33,6.799557
13.0,13,6.810002
12.0,12,6.81833
14.0,14,6.829703
30.0,30,6.852929
25.0,25,6.871809
13.0,13,6.882317
40.0,40,6.912055
17.0,17,6.924125
10.0,10,6.931641
24.0,24,6.949934
31.0,31,6.972782
18.0,18,6.987033
85.0,85,7.050545
28.0,28,7.070525
10.0,10,7.078058
17.0,17,7.091793
21.0,21,7.107137
15.0,15,7.118434
27.0,27,7.137913
27.0,27,7.15972
11.0,11,7.167735
12.0,12,7.17608
30.0,30,7.198484
20.0,20,7.213465
17.0,17,7.227319
13.0,13,7.236058
16.0,16,7.249555
12.0,12,7.257951
33.0,33,7.283318
13.0,13,7.292056
25.0,25,7.310742
11.0,11,7.318666
16.0,16,7.331981
44.0,44,7.363465
17.0,17,7.377248
16.0,16,7.388865
36.0,36,7.415432
24.0,24,7.433733
34.0,34,7.462469
44.0,44,7.503167
20.0,20,7.520916
30.0,30,7.546221
24.0,24,7.564983
15.0,15,7.577612
12.0,12,7.588672
22.0,22,7.606257
11.0,11,7.61549
