#{"t_start": 1710948578.6907597, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.00395
16.0,16,0.005106
15.0,15,0.006165
18.0,18,0.007416
40.0,40,0.010219
22.0,22,0.011712
29.0,29,0.013701
17.0,17,0.014907
31.0,31,0.017092
16.0,16,0.018208
19.0,19,0.01953
14.0,14,0.020551
21.0,21,0.022088
35.0,35,0.024598
20.0,20,0.02601
11.0,11,0.026786
16.0,16,0.02802
15.0,15,0.029109
29.0,29,0.031143
26.0,26,0.032932
16.0,16,0.034099
15.0,15,0.035144
15.0,15,0.036156
18.0,18,0.03743
17.0,17,0.03866
27.0,27,0.040512
31.0,31,0.0426
15.0,15,0.04361
11.0,11,0.044472
26.0,26,0.0463
29.0,29,0.048297
22.0,22,0.04982
48.0,48,0.053179
19.0,19,0.054541
10.0,10,0.055268
12.0,12,0.056106
20.0,20,0.057538
24.0,24,0.059168
21.0,21,0.060645
14.0,14,0.061631
27.0,27,0.063574
11.0,11,0.064389
24.0,24,0.066063
21.0,21,0.06762
22.0,22,0.069213
13.0,13,0.070117
15.0,15,0.071164
14.0,14,0.072119
16.0,16,0.073407
31.0,31,0.075597
51.0,51,0.079052
47.0,47,0.082147
17.0,17,0.083441
39.0,39,0.086082
24.0,24,0.087745
16.0,16,0.088879
24.0,24,0.090652
23.0,23,0.092253
17.0,17,0.09347
17.0,17,0.094687
40.0,40,0.097486
21.0,21,0.098942
13.0,13,0.099834
15.0,15,0.100895
57.0,57,0.104779
29.0,29,0.106771
12.0,12,0.107631
48.0,48,0.110901
11.0,11,0.111777
27.0,27,0.113707
19.0,19,0.115003
12.0,12,0.115836
11.0,11,0.116661
12.0,12,0.117497
15.0,15,0.118531
25.0,25,0.12023
17.0,17,0.121519
15.0,15,0.122547
13.0,13,0.123493
44.0,44,0.12655
14.0,14,0.127568
47.0,47,0.130677
14.0,14,0.131622
90.0,90,0.137706
33.0,33,0.140006
13.0,13,0.140903
13.0,13,0.141825
10.0,10,0.142511
17.0,17,0.143727
24.0,24,0.145348
22.0,22,0.146937
19.0,19,0.148264
17.0,17,0.149524
17.0,17,0.150712
27.0,27,0.152652
28.0,28,0.15452
15.0,15,0.155632
27.0,27,0.15742
16.0,16,0.158595
10.0,10,0.159337
63.0,63,0.163674
12.0,12,0.164518
16.0,16,0.165623
24.0,24,0.167232
19.0,19,0.168575
52.0,52,0.172002
20.0,20,0.173364
15.0,15,0.174408
52.0,52,0.178089
14.0,14,0.179047
21.0,21,0.180519
17.0,17,0.181671
25.0,25,0.183425
15.0,15,0.184507
38.0,38,0.187107
16.0,16,0.188229
30.0,30,0.190397
22.0,22,0.191922
22.0,22,0.193403
21.0,21,0.194838
30.0,30,0.197052
16.0,16,0.198181
43.0,43,0.201105
44.0,44,0.204081
14.0,14,0.205158
15.0,15,0.206253
16.0,16,0.207344
13.0,13,0.208231
23.0,23,0.209861
62.0,62,0.213997
11.0,11,0.214802
22.0,22,0.216345
15.0,15,0.217445
22.0,22,0.218983
16.0,16,0.220128
29.0,29,0.222117
14.0,14,0.223172
13.0,13,0.224068
76.0,76,0.229156
33.0,33,0.231416
27.0,27,0.233395
28.0,28,0.235253
17.0,17,0.236466
15.0,15,0.237512
38.0,38,0.240121
13.0,13,0.241113
17.0,17,0.242299
13.0,13,0.243218
20.0,20,0.244688
9.0,9,0.245341
11.0,11,0.246142
11.0,11,0.246959
12.0,12,0.247914
22.0,22,0.249394
13.0,13,0.250321
32.0,32,0.252462
43.0,43,0.255363
11.0,11,0.256181
24.0,24,0.257848
22.0,22,0.25944
23.0,23,0.261066
22.0,22,0.262587
28.0,28,0.264476
14.0,14,0.265468
32.0,32,0.267694
20.0,20,0.269096
25.0,25,0.270857
36.0,36,0.273364
18.0,18,0.274719
16.0,16,0.27586
31.0,31,0.27795
18.0,18,0.279153
17.0,17,0.280427
35.0,35,0.282735
12.0,12,0.283572
32.0,32,0.285758
15.0,15,0.286906
16.0,16,0.288035
19.0,19,0.289413
14.0,14,0.29038
13.0,13,0.291375
29.0,29,0.293361
28.0,28,0.295321
19.0,19,0.296668
16.0,16,0.297902
21.0,21,0.29936
25.0,25,0.301042
15.0,15,0.302082
17.0,17,0.303305
48.0,48,0.306543
14.0,14,0.307554
25.0,25,0.30928
24.0,24,0.310992
39.0,39,0.313695
49.0,49,0.316925
26.0,26,0.318666
19.0,19,0.320075
14.0,14,0.321091
10.0,10,0.321803
25.0,25,0.323572
13.0,13,0.324623
10.0,10,0.32532
13.0,13,0.32621
14.0,14,0.327189
30.0,30,0.329243
18.0,18,0.33053
13.0,13,0.331447
16.0,16,0.332576
40.0,40,0.335373
12.0,12,0.336232
34.0,34,0.338613
20.0,20,0.339967
14.0,14,0.340997
20.0,20,0.342352
18.0,18,0.343586
18.0,18,0.344841
13.0,13,0.345862
24.0,24,0.347587
13.0,13,0.348519
13.0,13,0.349413
33.0,33,0.351671
13.0,13,0.35257
11.0,11,0.353348
21.0,21,0.354761
29.0,29,0.356856
16.0,16,0.358012
13.0,13,0.358973
12.0,12,0.359858
28.0,28,0.36181
13.0,13,0.362701
16.0,16,0.363831
35.0,35,0.366271
12.0,12,0.367234
16.0,16,0.368341
18.0,18,0.369636
19.0,19,0.371001
24.0,24,0.372736
26.0,26,0.374492
43.0,43,0.377383
25.0,25,0.379143
17.0,17,0.380558
14.0,14,0.381622
14.0,14,0.382804
21.0,21,0.384231
18.0,18,0.38564
31.0,31,0.387683
17.0,17,0.388894
15.0,15,0.389902
18.0,18,0.391217
14.0,14,0.392168
10.0,10,0.392901
20.0,20,0.394255
19.0,19,0.39568
28.0,28,0.397601
28.0,28,0.399487
22.0,22,0.400998
9.0,9,0.40172
21.0,21,0.403202
15.0,15,0.404231
17.0,17,0.405453
25.0,25,0.407257
23.0,23,0.408888
14.0,14,0.409837
13.0,13,0.410728
15.0,15,0.411841
28.0,28,0.413749
13.0,13,0.414668
